-15.75 -68.01 acutifolia
8.83 -82.4 acutifolia
8.77 -82.42 acutifolia
8.77 -82.42 acutifolia
8.83 -82.4 acutifolia
8.78 -82.35 acutifolia
8.81 -82.54 acutifolia
8.81 -82.53 acutifolia
8.87 -82.57 acutifolia
8.19 -82.24 acutifolia
8.82 -82.4 acutifolia
8.83 -82.4 acutifolia
8.54 -81.81 acutifolia
8.55 -81.81 acutifolia
8.54 -81.82 acutifolia
9.85 -84.14 acutifolia
9.85 -84.12 acutifolia
9.86 -84.14 acutifolia
9.84 -84.14 acutifolia
9.86 -84.14 acutifolia
9.86 -84.13 acutifolia
9.62 -83.85 acutifolia
9.61 -83.81 acutifolia
9.38 -83.15 acutifolia
9.75 -83.78 acutifolia
9.35 -83.27 acutifolia
9.67 -83.83 acutifolia
9.97 -83.83 acutifolia
9.66 -83.71 acutifolia
9.45 -83.51 acutifolia
9.57 -83.67 acutifolia
9.58 -83.63 acutifolia
9.57 -83.75 acutifolia
9.18 -83.06 acutifolia
9.97 -83.85 acutifolia
9.97 -83.84 acutifolia
9.59 -83.77 acutifolia
9.98 -83.84 acutifolia
9.98 -83.84 acutifolia
9.98 -83.83 acutifolia
9.57 -83.75 acutifolia
9.55 -83.72 acutifolia
9.7 -83.94 acutifolia
9.61 -83.83 acutifolia
9.57 -83.67 acutifolia
9.75 -83.78 acutifolia
9.67 -83.83 acutifolia
9.71 -83.95 acutifolia
9.59 -83.89 acutifolia
9.59 -83.89 acutifolia
9.59 -83.89 acutifolia
9.59 -83.89 acutifolia
9.59 -83.89 acutifolia
9.71 -83.92 acutifolia
9.75 -83.78 acutifolia
9.5 -83.52 acutifolia
9.59 -83.89 acutifolia
9.15 -82.98 acutifolia
9.18 -82.98 acutifolia
10.13 -84.1 acutifolia
10.13 -84.12 acutifolia
10.13 -84.12 acutifolia
10.08 -84.34 acutifolia
10.26 -84.45 acutifolia
10.21 -84.16 acutifolia
10.1 -84.05 acutifolia
10.33 -84.83 acutifolia
10.33 -84.83 acutifolia
10.33 -84.83 acutifolia
10.13 -84.11 acutifolia
10 -83.77 acutifolia
10.01 -83.77 acutifolia
10 -83.84 acutifolia
14.83 -91.36 acutifolia
14.89 -91.19 acutifolia
14.84 -91.37 acutifolia
14.48 -90.73 acutifolia
14.52 -90.87 acutifolia
14.47 -90.74 acutifolia
14.47 -90.74 acutifolia
14.38 -89.13 acutifolia
14.37 -89.12 acutifolia
14.56 -88.67 acutifolia
14.55 -88.67 acutifolia
14.2 -87.12 acutifolia
14.02 -87.87 acutifolia
14.21 -87.11 acutifolia
14.16 -87.05 acutifolia
14.21 -87.11 acutifolia
14.2 -87.1 acutifolia
14.18 -87.1 acutifolia
14.12 -87 acutifolia
15.1 -92.08 acutifolia
15.44 -92.32 acutifolia
15.56 -92.32 acutifolia
15.44 -92.35 acutifolia
15.44 -92.35 acutifolia
15.44 -92.35 acutifolia
15.56 -92.32 acutifolia
15.44 -92.35 acutifolia
15.64 -91.44 acutifolia
15.41 -91.15 acutifolia
16.17 -96.31 acutifolia
16.17 -96.31 acutifolia
16.73 -92.68 acutifolia
16.3 -92.3 acutifolia
16.3 -92.3 acutifolia
16.55 -92.5 acutifolia
16.3 -92.3 acutifolia
16.3 -92.3 acutifolia
16.55 -92.5 acutifolia
17.45 -100.15 acutifolia
17.25 -96.03 acutifolia
17.29 -96.14 acutifolia
17.28 -96.02 acutifolia
17.58 -96.5 acutifolia
17.3 -96.12 acutifolia
17.26 -96.03 acutifolia
17.26 -96.03 acutifolia
17.38 -95.23 acutifolia
17.13 -96 acutifolia
17.13 -96 acutifolia
17.38 -95.23 acutifolia
